-111.173,142.754,-52.090   -40.213,319.334,-97.726   0.000,0.000,0.000
-222.386,283.915,-91.740   -40.603,319.396,-97.726   -179.401,287.933,-37.201
-222.375,283.908,-90.998   -40.603,319.396,-97.726   -179.446,288.483,-36.458
-222.384,283.911,-92.077   -40.603,319.396,-97.726   -179.376,287.677,-37.538
-222.387,283.913,-92.162   -40.603,319.396,-97.726   -179.373,287.615,-37.623
-222.357,283.917,-91.973   -40.603,319.396,-97.726   -179.355,287.761,-37.434
-222.353,283.927,-92.068   -40.603,319.396,-97.726   -179.345,287.699,-37.528
-222.359,283.950,-91.182   -40.602,319.423,-97.551   -179.401,288.229,-36.817
-222.385,283.976,-92.610   -40.606,319.388,-97.701   -179.341,287.331,-38.095
-222.423,283.992,-92.561   -40.598,319.394,-97.613   -179.384,287.311,-38.134
-222.487,283.984,-91.211   -40.593,319.424,-97.543   -179.533,288.233,-36.854
-222.418,283.926,-93.098   -40.614,319.411,-97.729   -179.338,286.912,-38.555
-222.428,283.965,-90.682   -40.616,319.401,-97.765   -179.515,288.802,-36.103
-222.454,283.955,-91.786   -40.603,319.418,-97.753   -179.465,287.938,-37.219
-222.486,284.006,-91.695   -40.609,319.391,-97.751   -179.500,288.083,-37.131
-222.404,283.920,-92.851   -40.609,319.429,-97.681   -179.338,287.039,-38.356
-222.390,283.966,-91.954   -40.605,319.390,-97.768   -179.392,287.861,-37.373
-222.466,283.989,-91.748   -40.611,319.427,-97.715   -179.469,287.963,-37.219
-222.487,283.983,-91.210   -40.611,319.436,-97.736   -179.530,288.368,-36.661
-222.423,283.934,-91.386   -40.596,319.428,-97.691   -179.464,288.160,-36.881
-222.402,283.973,-92.667   -40.610,319.423,-97.685   -179.346,287.238,-38.169
-222.477,283.957,-92.493   -40.601,319.414,-97.754   -179.445,287.414,-37.925
-222.471,283.975,-91.932   -40.598,319.424,-97.687   -179.473,287.792,-37.431
-222.392,283.938,-93.049   -40.613,319.413,-97.703   -179.315,286.940,-38.532
-222.387,283.978,-93.520   -40.609,319.417,-97.735   -179.291,286.646,-38.971
-222.422,283.944,-90.631   -40.605,319.421,-97.740   -179.519,288.781,-36.077
-222.502,283.999,-91.771   -40.593,319.396,-97.817   -179.531,288.063,-37.140
-222.439,283.966,-92.187   -40.613,319.420,-97.744   -179.412,287.640,-37.629
-222.362,283.957,-92.741   -40.606,319.388,-97.701   -179.309,287.214,-38.226
-222.426,283.959,-93.037   -40.608,319.439,-97.716   -179.353,286.954,-38.507
-222.467,283.989,-92.257   -40.601,319.405,-97.754   -179.451,287.632,-37.688
-222.436,283.973,-93.843   -40.588,319.395,-97.792   -179.350,286.461,-39.237
-222.376,283.964,-91.770   -40.594,319.419,-97.652   -179.391,287.881,-37.305
-222.470,283.961,-91.494   -40.611,319.409,-97.709   -179.492,288.139,-36.971
-222.520,283.949,-89.803   -40.619,319.393,-97.721   -179.680,289.420,-35.269
-222.410,283.941,-91.881   -40.615,319.390,-97.769   -179.407,287.894,-37.298
-222.416,283.960,-91.119   -40.608,319.409,-97.628   -179.463,288.359,-36.677
-222.475,283.960,-92.592   -40.621,319.397,-97.740   -179.418,287.350,-38.038
-222.489,283.951,-91.530   -40.601,319.421,-97.719   -179.518,288.097,-36.997
-222.441,283.965,-93.503   -40.610,319.440,-97.674   -179.340,286.578,-39.015
-222.401,283.927,-91.529   -40.608,319.433,-97.702   -179.421,288.049,-37.014
-222.471,283.950,-91.122   -40.599,319.433,-97.676   -179.528,288.357,-36.632
-222.469,283.948,-91.013   -40.616,319.402,-97.755   -179.527,288.529,-36.444
-222.481,283.981,-91.463   -40.616,319.402,-97.755   -179.527,288.529,-36.444
-222.479,283.986,-91.432   -40.616,319.402,-97.755   -179.527,288.529,-36.444
-222.474,283.981,-91.204   -40.616,319.402,-97.755   -179.527,288.529,-36.444
-222.477,283.987,-91.301   -40.610,319.424,-97.719   -179.513,288.302,-36.768
-222.488,283.926,-91.180   -40.610,319.424,-97.719   -179.513,288.302,-36.768
-222.485,283.933,-91.194   -40.606,319.409,-97.629   -179.529,288.276,-36.751
-222.397,283.958,-92.660   -40.613,319.434,-97.659   -179.336,287.199,-38.187
-222.525,283.956,-90.594   -40.613,319.429,-97.683   -179.612,288.769,-36.097
